"Currency","Position","Probability","Odds","Meets Criterion","File"
EURUSD,long,0.4882833670832233,1.6,false,audusd-2017-257-04.json
EURUSD,long,0.4906362928300783,2.066666666666667,true,usdjpy-2017-281-02.json
EURUSD,long,0.4907307903878433,1.736842105263158,false,audusd-2017-271-01.json
EURUSD,long,0.4928578099687757,2.8181818181818183,true,usdchf-2017-278-05.json
EURUSD,long,0.49376760724683216,2.25,true,nzdusd-2017-276-01.json
EURUSD,long,0.49494073458625426,1.736842105263158,false,eurusd-2017-272-02.json
EURUSD,long,0.4967308219149956,1.8333333333333333,false,usdchf-2017-265-02.json
EURUSD,long,0.4972543081733802,2.7,true,usdchf-2017-252-09.json
EURUSD,long,0.49761924724474904,2.4285714285714284,true,eurusd-2017-255-10.json
EURUSD,long,0.49793064783995966,1.5,false,usdchf-2017-269-07.json
EURUSD,long,0.4985364547809256,2.8333333333333335,true,gbpusd-2017-258-02.json
EURUSD,long,0.4986443948241614,2.0588235294117645,true,audusd-2017-257-10.json
EURUSD,long,0.49923288753725265,2.0714285714285716,true,gbpusd-2017-251-06.json
EURUSD,long,0.5005772721556055,1.8823529411764706,false,audusd-2017-253-03.json
EURUSD,long,0.5006377476910694,1.9411764705882353,false,usdchf-2017-263-01.json
EURUSD,long,0.5017968855135699,1.6842105263157894,false,usdchf-2017-272-09.json
EURUSD,long,0.5027327310930413,3.125,true,usdchf-2017-281-12.json
EURUSD,long,0.5035821591316025,2,true,audusd-2017-276-09.json
EURUSD,long,0.5038691812739658,3,true,usdjpy-2017-253-05.json
EURUSD,long,0.5044114535650459,2.6666666666666665,true,usdchf-2017-280-07.json
EURUSD,long,0.5059338947155042,2.0588235294117645,true,audusd-2017-279-01.json
EURUSD,long,0.5069876296030953,2.4285714285714284,true,audusd-2017-263-03.json
EURUSD,long,0.5078857816570754,1.4761904761904763,false,gbpusd-2017-255-05.json
EURUSD,long,0.5081521560324601,2.230769230769231,true,audusd-2017-266-05.json
EURUSD,long,0.509720708955786,2.0625,true,gbpusd-2017-273-01.json
EURUSD,long,0.5122393609062521,1.8666666666666667,false,gbpusd-2017-270-01.json
EURUSD,long,0.5127457567258296,2.0714285714285716,true,eurusd-2017-256-09.json
EURUSD,long,0.5151277780286445,2.0588235294117645,true,audusd-2017-277-03.json
EURUSD,long,0.5152164053843191,2.0588235294117645,true,gbpusd-2017-276-06.json
EURUSD,long,0.5158153673807122,2.142857142857143,true,usdcad-2017-261-02.json
EURUSD,long,0.5179102716412899,2.5454545454545454,true,eurusd-2017-252-02.json
EURUSD,long,0.5210895531132407,1.45,false,audusd-2017-277-02.json
EURUSD,long,0.5218140609072107,2.1875,true,usdjpy-2017-254-11.json
EURUSD,long,0.5235402411466087,2,true,audusd-2017-252-12.json
EURUSD,long,0.5250625393892133,3,true,usdjpy-2017-279-05.json
EURUSD,long,0.5252530132816785,3.5555555555555554,true,usdchf-2017-257-07.json
EURUSD,long,0.5288529145194089,2.4,true,usdchf-2017-278-02.json
EURUSD,long,0.5314069767244769,2,true,eurusd-2017-279-04.json
EURUSD,long,0.5328637544371124,2.75,true,usdchf-2017-267-03.json
EURUSD,long,0.5334562984604649,2.1333333333333333,true,usdchf-2017-252-03.json
EURUSD,long,0.5360150459854989,2.466666666666667,true,usdjpy-2017-258-05.json
EURUSD,long,0.5364072085992758,2.2142857142857144,true,eurusd-2017-280-01.json
EURUSD,long,0.5370207867518895,1.4761904761904763,false,eurusd-2017-258-06.json
EURUSD,long,0.5408044650215529,2.125,true,eurusd-2017-267-10.json
EURUSD,long,0.5498944932831562,2.0588235294117645,true,audusd-2017-277-09.json
EURUSD,long,0.5500622732205848,1.8333333333333333,true,audusd-2017-253-01.json
EURUSD,long,0.5527965093296394,1.9333333333333333,true,eurusd-2017-255-03.json
EURUSD,long,0.5545165270037387,2.25,true,usdchf-2017-258-06.json
EURUSD,long,0.5556611267165906,1.7777777777777777,false,usdchf-2017-273-12.json
EURUSD,long,0.5588818092945771,2.6666666666666665,true,audusd-2017-252-08.json
EURUSD,long,0.5590509207259305,2.25,true,audusd-2017-263-10.json
EURUSD,long,0.5618719043151692,3,true,gbpusd-2017-251-02.json
EURUSD,long,0.5634229134704948,1.5789473684210527,false,eurusd-2017-276-02.json
EURUSD,long,0.5649712520963182,1.7058823529411764,false,usdjpy-2017-254-02.json
EURUSD,long,0.5706353914808636,1.7222222222222223,false,eurusd-2017-254-05.json
EURUSD,long,0.5730201135724945,2.3846153846153846,true,eurusd-2017-257-07.json
EURUSD,long,0.5776385330574998,2.3846153846153846,true,eurusd-2017-267-08.json
EURUSD,long,0.5804105550228595,2.2142857142857144,true,gbpusd-2017-280-07.json
EURUSD,long,0.5825024796013772,3.7777777777777777,true,gbpusd-2017-255-02.json
EURUSD,long,0.5908722543765149,2.5,true,audusd-2017-256-09.json
EURUSD,long,0.597388025570857,4.444444444444445,true,usdcad-2017-276-09.json
EURUSD,long,0.6045296100132225,3.1818181818181817,true,usdjpy-2017-255-03.json
EURUSD,long,0.6110362643952003,2.2666666666666666,true,gbpusd-2017-277-11.json
EURUSD,long,0.6156433548776711,3.272727272727273,true,audusd-2017-255-04.json
EURUSD,long,0.6162217223825188,2.4,true,eurusd-2017-277-12.json
EURUSD,long,0.6203312095405513,2.769230769230769,true,usdjpy-2017-269-08.json
EURUSD,long,0.6231056266333188,2.8461538461538463,true,usdchf-2017-253-06.json
EURUSD,long,0.6271628745850367,2.0588235294117645,true,eurusd-2017-254-03.json
EURUSD,long,0.6325623219891173,2.0588235294117645,true,gbpusd-2017-270-02.json
EURUSD,long,0.6343509195461243,2.4,true,eurusd-2017-279-09.json
EURUSD,long,0.6519350972783678,3.25,true,eurusd-2017-279-01.json
EURUSD,long,0.6652951013577076,3.9,true,usdchf-2017-265-11.json
EURUSD,long,0.707206394355111,4.1,true,usdchf-2017-252-05.json
EURUSD,short,0.292636742340196,5.666666666666667,true,gbpusd-2017-257-07.json
EURUSD,short,0.32422697114569365,6.333333333333333,true,eurusd-2017-267-06.json
EURUSD,short,0.37491896156868815,3.2857142857142856,true,usdjpy-2017-256-07.json
EURUSD,short,0.3796228883976779,5.25,true,usdchf-2017-280-10.json
EURUSD,short,0.3831274253361039,2.8333333333333335,true,usdjpy-2017-253-07.json
EURUSD,short,0.4027585709250733,2.9,true,usdcad-2017-264-07.json
EURUSD,short,0.4053670392565402,2.6363636363636362,true,usdcad-2017-266-05.json
EURUSD,short,0.4088934573935316,2.6923076923076925,true,gbpusd-2017-272-07.json
EURUSD,short,0.41303188175129396,2.5454545454545454,true,eurusd-2017-267-07.json
EURUSD,short,0.41334599903603914,2.6,true,gbpusd-2017-280-10.json
EURUSD,short,0.41506561760437866,2.3333333333333335,false,usdchf-2017-277-11.json
EURUSD,short,0.4156861894391119,2.3076923076923075,false,gbpusd-2017-268-07.json
EURUSD,short,0.4179518739105565,2.5,true,audusd-2017-269-07.json
